DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7911842;2;1;2;222.94850551;4
7911846;1;1;1;220.66007961;4
7911846;1;1;1;220.66007961;4
7911849;1;1;1;1535.7000635;3
7911849;1;1;1;1535.7000635;3
7911862;1;1;1;137.6196809;3
7911862;1;1;1;137.6196809;3
7911864;1;1;1;7.8754499602;2
7911864;1;1;1;7.8754499602;2
7911866;1;1;1;74.321788754;2
7911866;1;1;1;74.321788754;2
7911872;1;1;1;23.44417955;4
7911872;1;1;1;23.44417955;4
7911873;1;1;1;248.87567575;1
7911873;1;1;1;248.87567575;1
7911877;2;1;2;101.78387523;3
7911877;3;1;3;101.78387523;4
7911877;1;1;1;101.78387523;2
7911877;1;1;1;101.78387523;2
7911877;2;1;2;101.78387523;3
7911877;3;1;3;101.78387523;4
7911882;1;1;1;45.940124768;3
7911882;2;1;2;45.940124768;4
7911882;3;1;3;45.940124768;5
7911882;1;1;1;45.940124768;3
7911882;2;1;2;45.940124768;4
7911882;3;1;3;45.940124768;5
7911892;1;1;1;69.510444191;3
7911892;1;1;1;69.510444191;3
7911902;1;1;1;77.73831801;4
7911902;1;1;1;77.73831801;4
7911905;1;1;1;83.749653373;4
7911905;2;1;2;83.749653373;5
7911905;1;1;1;83.749653373;4
7911905;2;1;2;83.749653373;5
7911906;1;1;1;576.82190878;4
7911906;1;1;1;576.82190878;4
7911910;1;1;1;107.14151315;1
7911910;1;1;1;107.14151315;1
7911922;1;1;1;186.29712623;3
7911922;1;1;1;186.29712623;3
7911927;1;1;1;202.22847436;2
7911927;1;1;1;202.22847436;2
7911943;1;1;1;265.40767955;3
7911943;2;1;2;265.40767955;4
7911943;1;1;1;265.40767955;3
7911943;2;1;2;265.40767955;4
7911969;1;1;1;65.804605314;2
7911969;1;1;1;65.804605314;2
7911975;1;1;1;47.710467693;3
7911978;1;1;1;77.380074326;2
7911978;1;1;1;77.380074326;2
7911983;1;1;1;199.4440801;2
7911983;1;1;1;199.4440801;2
7911990;1;1;1;494.45984086;3
7911990;2;1;2;494.45984086;4
7911990;3;1;3;494.45984086;5
7911990;1;1;1;494.45984086;3
7911990;2;1;2;494.45984086;4
7911990;3;1;3;494.45984086;5
7911992;1;1;1;151.36676487;3
7911992;2;1;2;151.36676487;4
7911992;3;1;3;151.36676487;5
7911992;1;1;1;151.36676487;3
7911992;2;1;2;151.36676487;4
7911992;3;1;3;151.36676487;5
7912020;1;1;1;169.56145301;2
7912020;1;1;1;169.56145301;2
7912028;1;1;1;104.00880788;3
7912028;2;1;2;104.00880788;4
7912028;1;1;1;104.00880788;3
7912028;2;1;2;104.00880788;4
7912054;1;1;1;86.186747277;3
7912054;2;1;2;86.186747277;4
7912054;3;1;3;86.186747277;5
7912054;1;1;1;86.186747277;3
7912054;2;1;2;86.186747277;4
7912054;3;1;3;86.186747277;5
7912072;1;1;1;482.62882543;4
7912084;1;1;1;75.326441774;4
7912084;1;1;1;75.326441774;4
7912090;1;1;1;221.48389853;3
7912090;1;1;1;221.48389853;3
7912104;1;1;1;659.8476951;3
7912104;1;1;1;659.8476951;3
7912119;1;1;1;274.17718722;2
7912119;2;1;2;274.17718722;3
7912119;1;1;1;274.17718722;2
7912119;2;1;2;274.17718722;3
7912125;1;1;1;1936.0951069;3
7912125;1;1;1;1936.0951069;3
7912136;1;1;1;170.05605767;3
7912136;1;1;1;170.05605767;3
7912142;1;1;1;174.59522665;3
7912142;1;1;1;174.59522665;3
7912149;1;1;1;122.17274498;2
7912149;1;1;1;122.17274498;2
7912150;1;1;1;202.11648022;2
7912150;2;1;2;202.11648022;3
7912150;1;1;1;202.11648022;2
7912150;2;1;2;202.11648022;3
7912153;1;1;1;79.353899169;3
7912153;1;1;1;79.353899169;3
7912171;1;1;1;60.576902253;2
7912171;2;1;2;60.576902253;3
7912171;1;1;1;60.576902253;2
7912171;2;1;2;60.576902253;3
7912186;1;1;1;103.74492268;8
7912186;1;1;1;103.74492268;8
7912194;1;1;1;222.09126648;3
7912194;2;1;2;222.09126648;4
7912195;1;2;1;239.94204378;3
7912195;2;2;2;239.94204378;4
7912195;3;2;3;239.94204378;5
7912195;1;2;1;239.94204378;3
7912195;2;2;2;239.94204378;4
7912195;3;2;3;239.94204378;5
7912219;1;1;1;45.054771264;4
7912219;1;1;1;45.054771264;4
7912226;1;1;1;273.61999373;3
7912226;2;1;2;273.61999373;4
7912226;1;1;1;273.61999373;3
7912226;2;1;2;273.61999373;4
7912237;1;1;1;11.212821537;3
7912237;2;1;2;11.212821537;4
7912237;1;1;1;11.212821537;3
7912237;2;1;2;11.212821537;4
7912241;1;1;1;66.870594556;3
7912241;2;1;2;66.870594556;4
7912241;1;1;1;66.870594556;3
7912241;2;1;2;66.870594556;4
7912249;1;1;1;56.743949483;2
7912249;2;1;2;56.743949483;3
7912249;1;1;1;56.743949483;2
7912249;2;1;2;56.743949483;3
7912250;1;1;1;155.37870706;3
